Model,RMSE,MAE,Correlation,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20,ndcg_at_5,ndcg_at_10,ndcg_at_20,hit_rate_at_5,hit_rate_at_10,hit_rate_at_20,mrr
UserCF_Cosine,0.9654309296110983,0.753590572941077,0.5204436003646642,0.012000000000000002,0.008,0.009000000000000001,0.055,0.07,0.17,0.036925360652163085,0.041861045355560476,0.06740746751704582,0.06,0.07,0.17,0.02895689398320977
UserCF_Pearson,0.9580536844122522,0.7476321113438945,0.5296563843033201,0.008,0.005,0.004,0.03,0.035,0.06,0.024867001439804345,0.026346922820114207,0.032739748763606566,0.04,0.04,0.06,0.02342156862745098
SVD,1.1850827602161509,0.9059973709204151,0.44110105982894726,0.102,0.08399999999999999,0.068,0.30583333333333335,0.4921666666666667,0.77,0.24472884658022992,0.3197106118202765,0.4096151561479288,0.4,0.6,0.77,0.25809335882555695
NMF,2.2053882172300314,1.92870706012881,0.23694136309573904,0.21799999999999997,0.16399999999999998,0.1065,0.4728333333333333,0.7093333333333334,0.91,0.39451241437579987,0.48925952774063275,0.5645486682694455,0.74,0.86,0.91,0.49454304029304025
ALS,1.4966189882168937,1.1733770566345192,0.2766118888432718,0.018000000000000002,0.017,0.017,0.05833333333333334,0.12333333333333334,0.27,0.06093591587209299,0.08065400559990822,0.1266675648060738,0.07,0.14,0.27,0.05031665393430099
BiasedMF,1.0535095022652177,0.8193453323973621,0.44815093328423106,0.048,0.035,0.0255,0.185,0.2816666666666666,0.43,0.15624795598710897,0.19234280686897492,0.2360341490862956,0.2,0.29,0.43,0.1562951800951027
ContentBased,1.2358997966979428,0.9703990176979694,0.0816404448196085,0.016,0.017,0.015000000000000003,0.065,0.14,0.25,0.1012237943619347,0.12656512219836075,0.16871647476082482,0.08,0.15,0.25,0.05313791192467662
TFIDF_Content,1.1486265491738683,0.9544783524369643,0.06449817348617214,0.018000000000000002,0.011000000000000001,0.011500000000000002,0.07666666666666666,0.09666666666666666,0.21,0.09049092710838483,0.10224457530902153,0.14779444158961902,0.08,0.1,0.21,0.05780513827417852
AutoEncoder,2.577780220790597,2.321316957473755,0.19787429883592658,0.19399999999999998,0.135,0.08899999999999998,0.43733333333333335,0.6071666666666666,0.8,0.40622732306994186,0.475681183200833,0.5366529516513243,0.66,0.73,0.8,0.4489635076825479
WeightedHybrid,1.0185702313542861,0.7960176971973449,0.5055220583124385,0.036000000000000004,0.034,0.04699999999999999,0.11,0.205,0.64,0.08404109780130258,0.12130840200872277,0.24229360101194428,0.17,0.28,0.64,0.11297442057426575
SwitchingHybrid,1.0341427499047304,0.8020712621202616,0.4374285046946737,0.008,0.006000000000000001,0.0105,0.035,0.05,0.19,0.05454395572359223,0.05965832499246568,0.10064979713965606,0.04,0.05,0.19,0.027166484229564726
