Model,RMSE,MAE,Correlation,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20,ndcg_at_5,ndcg_at_10,ndcg_at_20,hit_rate_at_5,hit_rate_at_10,hit_rate_at_20,mrr
UserCF_Cosine,1.0348192479662386,0.8365513472297719,0.5524606434214137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UserCF_Pearson,1.0390498391783451,0.8323694579403701,0.5535463867546457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVD,1.1850827602161509,0.9059973709204151,0.44110105982894726,0.102,0.08399999999999999,0.068,0.30583333333333335,0.4921666666666667,0.77,0.24472884658022992,0.3197106118202765,0.4096151561479288,0.4,0.6,0.77,0.25809335882555695
NMF,2.2053882172300314,1.92870706012881,0.23694136309573904,0.21799999999999997,0.16399999999999998,0.1065,0.4728333333333333,0.7093333333333334,0.91,0.39451241437579987,0.48925952774063275,0.5645486682694455,0.74,0.86,0.91,0.49454304029304025
ALS,1.4966189882168937,1.1733770566345192,0.2766118888432718,0.018000000000000002,0.017,0.017,0.05833333333333334,0.12333333333333334,0.27,0.06093591587209299,0.08065400559990822,0.1266675648060738,0.07,0.14,0.27,0.05031665393430099
BiasedMF,0.983893439465307,0.7725512179275218,0.49805284389695065,0.048,0.04,0.033999999999999996,0.18166666666666664,0.295,0.49,0.17341052606955487,0.21344013433679354,0.26774454233006506,0.21,0.34,0.49,0.17823233607637634
ContentBased,1.2358997966979428,0.9703990176979694,0.0816404448196085,0.016,0.017,0.015000000000000003,0.065,0.14,0.25,0.1012237943619347,0.12656512219836075,0.16871647476082482,0.08,0.15,0.25,0.05313791192467662
TFIDF_Content,1.1486265491738683,0.9544783524369643,0.06449817348617214,0.018000000000000002,0.011000000000000001,0.011500000000000002,0.07666666666666666,0.09666666666666666,0.21,0.09049092710838483,0.10224457530902153,0.14779444158961902,0.08,0.1,0.21,0.05780513827417852
AutoEncoder,2.6115920647452544,2.35518217086792,0.16097993155603246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WeightedHybrid,1.1116996182240557,0.869681242010596,0.4424594987599056,0.07400000000000001,0.07400000000000001,0.057999999999999996,0.19899999999999998,0.4076666666666667,0.64,0.1682243151850363,0.24973781886670796,0.3385127238542875,0.29,0.49,0.64,0.1729469317232475
SwitchingHybrid,1.2128623372887233,0.9318488920482271,0.38494953160532663,0.09200000000000001,0.08,0.0605,0.2766666666666666,0.47383333333333333,0.69,0.252123829166302,0.33148946873493806,0.4095501594001805,0.35,0.56,0.69,0.2369560274177147
